Ves_Estado,SanSalvador,Usulutan,LaLibertad,SanVicente,LaPaz,Ahuchapan,Morazan,SanMiguel,Cuscatlan,LaUnion,SantaAna,Chalatenango
ANC,1,0,1,0,1,0,1,0,0,1,1,0
IPR,1,1,1,1,1,1,1,1,1,1,1,1
INI,1,1,1,1,1,1,1,1,1,1,1,1
INC,1,1,1,1,1,1,1,1,1,1,1,1
   ,1,1,1,1,1,1,1,1,1,1,1,1
CBR,1,1,1,1,1,1,1,1,1,1,1,1
IPT,1,1,1,1,1,1,1,1,1,1,1,1
SUS,1,0,0,0,0,0,0,0,0,0,0,0
RAT,1,0,0,0,0,0,0,1,0,0,0,0
APL,1,0,1,0,1,0,0,1,1,0,1,1
ANL,1,0,0,1,0,0,0,0,1,0,0,0
PPZ,1,1,1,1,1,1,1,1,1,1,1,1
IRI,1,1,1,1,1,1,1,1,1,1,1,1
REV,1,0,1,1,1,0,0,0,1,0,1,1
ANU,1,1,1,0,0,0,0,0,0,0,1,0
