Id,TIPO_PLACA,ANIO_DE_FABRICACION,CILINDRADA,CANTIDAD_DE_CILINDROS,CANTIDAD_DE_PUERTAS,VALOR_DEL_VEHICULO,COLORES,FECHA_DE_IMPORTACION,IMP_VALOR_DEL_VEHICULO,FECHA_DE_INGRESO,ANIO_INGRESO,MES_INGRESO,CLASE,PERTENENCIA,MARCA,MODELO,CAPACIDAD,COMBUSTIBLE,ADUANA,CONDICION_INGRESO,PROPIETARIO_DEPARTAMENTO,PROPIETARIO_MUNICIPIO,ESTADO
88718,PARTICULAR,2014,3000,4,5,40431.4,GRIS CLARO,4/7/2013,40431.4,19/10/2013,2013,10,AUTOMOVIL,PLAZOS,TOYOTA,LC PRADO,7,DIESEL,MARITIMA DE ACAJUTLA,VEHICULO NUEVO,SAN SALVADOR,SAN SALVADOR,ALTA
88719,PARTICULAR,2014,1300,4,4,13787.81,GRIS OSCURO,4/7/2013,13787.81,19/10/2013,2013,10,AUTOMOVIL,PROPIEDAD,TOYOTA,YARIS,5,GASOLINA,MARITIMA DE ACAJUTLA,VEHICULO NUEVO,SAN SALVADOR,SAN SALVADOR,ALTA
88720,PARTICULAR,1981,0,0,0,0,ROJO AMARILLO NEGRO,,0,27/4/1989,1989,4,PICK UP,PROPIEDAD,DATSUN,N/D,1,DIESEL,,VEHICULO USADO,LA LIBERTAD,SAN JUAN OPICO,BAJA
88721,PARTICULAR,1980,0,0,0,0,AMARILLO NEGRO,,0,12/1/1990,1990,1,PICK UP,PROPIEDAD,CHEVROLET,LUV,1,GASOLINA,,VEHICULO USADO,SAN MIGUEL,MONCAGUA,BAJA
88722,PARTICULAR,1981,0,0,0,0,ROJO,,0,17/6/1987,1987,6,PICK UP,PROPIEDAD,DATSUN,N/D,1,DIESEL,,VEHICULO USADO,SAN VICENTE,SAN VICENTE,BAJA
88723,PARTICULAR,1981,0,0,0,0,ROJO NEGRO ANARANJADO,,0,14/7/1988,1988,7,PICK UP,PROPIEDAD,DATSUN,N/D,1,DIESEL,,VEHICULO USADO,SAN SALVADOR,TONACATEPEQUE,ALTA
88724,PARTICULAR,1981,0,0,0,0,ROJO MARRON,,0,15/1/1988,1988,1,PICK UP,PROPIEDAD,DATSUN,N/D,1,DIESEL,,VEHICULO USADO,LA PAZ,SAN LUIS TALPA,BAJA
88725,PARTICULAR,1980,0,0,0,0,ANARANJADO,,0,1/10/1986,1986,10,PICK UP,PROPIEDAD,KIA,MASTER 1300,0.75,GASOLINA,,VEHICULO USADO,SAN MIGUEL,CHINAMECA,BAJA
88726,PARTICULAR,1980,0,0,0,1200,ROJO,24/2/1981,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,TOYOTA,N/D,1,DIESEL,,VEHICULO USADO,SAN SALVADOR,SANTO TOMAS,BAJA
88727,PARTICULAR,2006,2000,4,4,2015.88,GRIS,18/7/2013,2015.88,28/10/2013,2013,10,AUTOMOVIL,PROPIEDAD,MITSUBISHI,LANCER,5,GASOLINA,TRANSAUTO S.A. DE C.V.,VEHICULO USADO,CHALATENANGO,NUEVA CONCEPCION,ALTA
88728,PARTICULAR,1979,0,0,0,0,CELESTE CAFE,,0,15/12/1982,1982,12,AUTOMOVIL,PROPIEDAD,BUICK,N/D,5,GASOLINA,,VEHICULO USADO,LA LIBERTAD,COLON,BAJA
88729,PARTICULAR,2006,1800,4,4,3289.15,GRIS,22/8/2013,3289.15,28/10/2013,2013,10,AUTOMOVIL,PROPIEDAD,HONDA,CIVIC,5,GASOLINA,TRANSAUTO S.A. DE C.V.,VEHICULO USADO,SAN SALVADOR,ILOPANGO,ALTA
88730,PARTICULAR,1989,0,0,0,1142.86,AZUL,,0,28/7/1982,1982,7,AUTOMOVIL,PLAZOS,LADA,2101,5,GASOLINA,,VEHICULO USADO,SANTA ANA,SANTA ANA,BAJA
88731,PARTICULAR,2005,1600,4,2,5789.23,AZUL/BLANCO,9/7/2013,5789.23,28/10/2013,2013,10,AUTOMOVIL,PROPIEDAD,MINI,COOPER,5,GASOLINA,ALMACENADORA NEJAPA, S.A DE C.V,VEHICULO USADO,LA LIBERTAD,SANTA TECLA,ALTA
88732,PARTICULAR,1980,0,0,0,0,AMARILLO,,0,31/7/1987,1987,7,AUTOMOVIL,PROPIEDAD,LADA,2102,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
88733,MOTOCICLETA,2013,150,1,,612.8,AZUL C/F MULTICOLOR,13/5/2013,612.8,28/10/2013,2013,10,MOTOCICLETA,PROPIEDAD,SKYGO,SG 150,2,GASOLINA,ZONA FRANCA INTERNACIONAL,VEHICULO NUEVO,SANTA ANA,METAPAN,ALTA
88734,PARTICULAR,1980,0,0,0,0,ROJO,,0,25/1/1984,1984,1,AUTOMOVIL,PROPIEDAD,LADA,2103,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,BAJA
88735,PARTICULAR,1980,0,0,0,0,AMARILLO,,0,13/7/1983,1983,7,AUTOMOVIL,PLAZOS,LADA,2103,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,CIUDAD DELGADO,BAJA
88736,PARTICULAR,1982,3000,0,0,0,AZUL GRIS,,0,12/1/1990,1990,1,AUTOMOVIL,PROPIEDAD,DATSUN,MAXIMA,5,DIESEL,,VEHICULO USADO,SONSONATE,IZALCO,ALTA
88737,PARTICULAR,1989,0,0,0,0,CAFE DORADO BLANCO,,0,2/3/1990,1990,3,AUTOMOVIL,PROPIEDAD,JEEP,N/D,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,AGUILARES,ALTA
88738,PARTICULAR,1979,0,0,0,0,ROJO,,0,9/3/1988,1988,3,AUTOMOVIL,PROPIEDAD,MERCEDES BENZ,280 S,5,GASOLINA,AEREA COMALAPA,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
